h,prophet_MAE,prophet_SD,prophet_RMSE,prophet_MAPE,chronos_MAE,chronos_SD,chronos_RMSE,chronos_MAPE,timesfm_MAE,timesfm_SD,timesfm_RMSE,timesfm_MAPE,sarimax_MAE,sarimax_SD,sarimax_RMSE,sarimax_MAPE
1,18.75,32.89,37.86,31.65,19.13,40.83,45.09,26.15,18.4,35.54,40.02,26.13,18.77,40.88,44.98,27.59
10,18.39,32.56,37.4,30.67,17.8,44.12,47.57,25.1,17.91,35.82,40.04,25.62,18.47,53.55,56.64,28.04
20,22.74,50.56,55.44,40.31,20.74,62.15,65.52,26.83,19.78,49.99,53.75,27.43,21.52,69.57,72.82,32.4
30,28.1,71.24,76.58,74.91,18.33,48.62,51.95,29.95,16.97,34.74,38.66,28.95,21.39,77.67,80.55,38.12
40,37.08,94.8,101.79,103.15,20.1,52.4,56.12,30.44,19.53,42.6,46.87,30.21,24.1,97.77,100.69,42.07
60,34.5,81.29,88.3,109.74,20.07,51.76,55.51,35.29,19.37,39.07,43.6,37.23,24.79,124.77,127.19,49.83
80,31.99,89.16,94.72,93.96,21.88,56.19,60.29,31.09,19.46,44.61,48.66,32.88,25.91,156.14,158.26,45.36
100,38.85,89.82,97.85,96.11,20.97,51.79,55.87,31.29,19.55,35.96,40.93,33.89,30.74,182.97,185.52,50.0
120,36.48,87.74,95.02,90.11,20.33,49.13,53.17,29.93,17.91,31.81,36.51,32.37,32.07,219.17,221.49,52.61
132,37.09,94.09,101.13,83.62,21.11,63.87,67.26,28.87,19.79,52.98,56.55,33.43,36.59,234.79,237.6,55.24
