group1,group2,meandiff,p-adj,lower,upper,reject
11,22,-0.1019,1.0,-0.709,0.5052,False
11,23,-0.043,1.0,-0.6015,0.5154,False
11,31,-0.1206,1.0,-0.6995,0.4582,False
11,32,-0.118,1.0,-0.7022,0.4661,False
11,33,-0.0175,1.0,-0.5841,0.5492,False
11,42,0.0318,1.0,-0.547,0.6107,False
11,44,-0.1067,1.0,-0.6611,0.4477,False
11,45,-0.162,1.0,-0.7176,0.3935,False
11,48,-0.0225,1.0,-0.5847,0.5398,False
11,49,-0.0085,1.0,-0.5809,0.5639,False
11,51,-0.113,1.0,-0.6732,0.4472,False
11,52,-0.0743,1.0,-0.6324,0.4838,False
11,53,-0.1582,1.0,-0.7128,0.3963,False
11,54,-0.0662,1.0,-0.6241,0.4917,False
11,55,-0.0436,1.0,-0.6205,0.5332,False
11,56,-0.0657,1.0,-0.6239,0.4926,False
11,61,0.0637,1.0,-0.491,0.6185,False
11,62,0.0072,1.0,-0.5476,0.562,False
11,71,-0.0495,1.0,-0.6042,0.5052,False
11,72,-0.1156,1.0,-0.6701,0.439,False
11,81,-0.0791,1.0,-0.6342,0.476,False
11,92,0.0304,1.0,-0.5336,0.5944,False
22,23,0.0589,1.0,-0.1984,0.3161,False
22,31,-0.0188,1.0,-0.3177,0.2802,False
22,32,-0.0162,1.0,-0.3253,0.2929,False
22,33,0.0844,1.0,-0.1902,0.359,False
22,42,0.1337,0.9946,-0.1652,0.4326,False
22,44,-0.0048,1.0,-0.2531,0.2434,False
22,45,-0.0602,1.0,-0.3111,0.1907,False
22,48,0.0794,1.0,-0.186,0.3449,False
22,49,0.0934,1.0,-0.1928,0.3796,False
22,51,-0.0111,1.0,-0.2721,0.2498,False
22,52,0.0276,1.0,-0.2289,0.284,False
22,53,-0.0564,1.0,-0.3051,0.1923,False
22,54,0.0357,1.0,-0.2203,0.2916,False
22,55,0.0582,1.0,-0.2368,0.3532,False
22,56,0.0362,1.0,-0.2206,0.293,False
22,61,0.1656,0.7261,-0.0835,0.4147,False
22,62,0.1091,0.996,-0.1401,0.3583,False
22,71,0.0524,1.0,-0.1965,0.3012,False
22,72,-0.0137,1.0,-0.2623,0.2349,False
22,81,0.0228,1.0,-0.2271,0.2726,False
22,92,0.1323,0.9826,-0.1368,0.4014,False
23,31,-0.0776,0.9969,-0.2583,0.1031,False
23,32,-0.075,0.9995,-0.2721,0.1221,False
23,33,0.0256,1.0,-0.1111,0.1623,False
23,42,0.0749,0.9981,-0.1058,0.2555,False
23,44,-0.0637,0.1375,-0.1338,0.0065,False
23,45,-0.119,0.0,-0.1981,-0.04,True
23,48,0.0206,1.0,-0.0967,0.1379,False
23,49,0.0345,1.0,-0.1242,0.1933,False
23,51,-0.07,0.7506,-0.1768,0.0368,False
23,52,-0.0313,0.9999,-0.1264,0.0638,False
23,53,-0.1152,0.0,-0.1869,-0.0435,True
23,54,-0.0232,1.0,-0.1171,0.0707,False
23,55,-0.0006,1.0,-0.1747,0.1735,False
23,56,-0.0226,1.0,-0.1188,0.0735,False
23,61,0.1068,0.0,0.0337,0.1798,True
23,62,0.0502,0.6732,-0.0232,0.1237,False
23,71,-0.0065,1.0,-0.0788,0.0658,False
23,72,-0.0726,0.0414,-0.144,-0.0011,True
23,81,-0.0361,0.988,-0.1119,0.0397,False
23,92,0.0734,0.8941,-0.0519,0.1987,False
31,32,0.0026,1.0,-0.2465,0.2517,False
31,33,0.1032,0.9767,-0.1015,0.3078,False
31,42,0.1525,0.7757,-0.0838,0.3888,False
31,44,0.0139,1.0,-0.1538,0.1816,False
31,45,-0.0414,1.0,-0.213,0.1302,False
31,48,0.0982,0.973,-0.0941,0.2904,False
31,49,0.1121,0.9736,-0.1079,0.3321,False
31,51,0.0076,1.0,-0.1784,0.1936,False
31,52,0.0463,1.0,-0.1333,0.2259,False
31,53,-0.0376,1.0,-0.2059,0.1307,False
31,54,0.0544,1.0,-0.1245,0.2334,False
31,55,0.077,0.9999,-0.1543,0.3083,False
31,56,0.055,1.0,-0.1251,0.2351,False
31,61,0.1844,0.0154,0.0155,0.3533,True
31,62,0.1279,0.467,-0.0412,0.2969,False
31,71,0.0711,0.9976,-0.0975,0.2397,False
31,72,0.0051,1.0,-0.1632,0.1733,False
31,81,0.0415,1.0,-0.1286,0.2116,False
31,92,0.151,0.4399,-0.0462,0.3483,False
32,33,0.1006,0.9926,-0.1187,0.3199,False
32,42,0.1499,0.8677,-0.0992,0.399,False
32,44,0.0113,1.0,-0.1739,0.1966,False
32,45,-0.044,1.0,-0.2328,0.1448,False
32,48,0.0956,0.9923,-0.1122,0.3033,False
32,49,0.1096,0.9902,-0.1241,0.3432,False
32,51,0.005,1.0,-0.197,0.207,False
32,52,0.0437,1.0,-0.1524,0.2398,False
32,53,-0.0402,1.0,-0.2261,0.1457,False
32,54,0.0518,1.0,-0.1437,0.2473,False
32,55,0.0744,1.0,-0.17,0.3188,False
32,56,0.0524,1.0,-0.1442,0.249,False
32,61,0.1818,0.0667,-0.0046,0.3682,False
32,62,0.1253,0.7083,-0.0612,0.3118,False
32,71,0.0685,0.9997,-0.1176,0.2546,False
32,72,0.0025,1.0,-0.1833,0.1882,False
32,81,0.0389,1.0,-0.1485,0.2264,False
32,92,0.1485,0.6322,-0.0639,0.3608,False
33,42,0.0493,1.0,-0.1554,0.254,False
33,44,-0.0892,0.4847,-0.2082,0.0297,False
33,45,-0.1446,0.0056,-0.269,-0.0202,True
33,48,-0.005,1.0,-0.1566,0.1466,False
33,49,0.009,1.0,-0.1766,0.1945,False
